Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
129,31,9,130,3,Some Random Commen with Id 129
130,32,6,145,9,Some Random Commen with Id 130
131,32,6,127,8,Some Random Commen with Id 131
132,32,6,93,7,Some Random Commen with Id 132
133,33,4,111,2,Some Random Commen with Id 133
134,34,9,183,9,Some Random Commen with Id 134
135,34,9,72,1,Some Random Commen with Id 135
136,34,9,197,0,Some Random Commen with Id 136
137,34,9,115,9,Some Random Commen with Id 137
138,34,9,48,5,Some Random Commen with Id 138
139,34,9,48,9,Some Random Commen with Id 139
140,34,9,102,8,Some Random Commen with Id 140
141,34,9,14,8,Some Random Commen with Id 141
142,34,9,41,0,Some Random Commen with Id 142
143,35,4,155,7,Some Random Commen with Id 143
144,35,4,78,2,Some Random Commen with Id 144
145,35,4,40,6,Some Random Commen with Id 145
146,35,4,90,5,Some Random Commen with Id 146
147,35,4,42,9,Some Random Commen with Id 147
148,35,4,182,3,Some Random Commen with Id 148
149,35,4,114,4,Some Random Commen with Id 149
150,36,1,10,3,Some Random Commen with Id 150
151,36,1,5,6,Some Random Commen with Id 151
152,36,1,104,2,Some Random Commen with Id 152
153,36,1,138,1,Some Random Commen with Id 153
154,36,1,76,0,Some Random Commen with Id 154
155,36,1,113,3,Some Random Commen with Id 155
156,37,6,159,3,Some Random Commen with Id 156
157,37,6,59,5,Some Random Commen with Id 157
158,37,6,92,3,Some Random Commen with Id 158
159,37,6,134,4,Some Random Commen with Id 159
160,37,6,12,0,Some Random Commen with Id 160
161,37,6,188,5,Some Random Commen with Id 161
162,37,6,74,9,Some Random Commen with Id 162
163,37,6,105,2,Some Random Commen with Id 163
164,37,6,31,9,Some Random Commen with Id 164
165,38,0,96,3,Some Random Commen with Id 165
166,38,0,44,0,Some Random Commen with Id 166
167,38,0,142,6,Some Random Commen with Id 167
168,38,0,195,9,Some Random Commen with Id 168
